Form_orth,Form_ipa,Form_meaning,Donor_orth,Donor_ipa
pātai,paːtai,"a question
2013, New Zealand Government, Information for enrolling (pamphlet)
Me i 'āe' mai koe ki te pātai te Wāhanga A, e pātai ana mehemea he Māori koe nō Aotearoa, he uri rānei nō tētahi Māori nō Aotearoa [...]
If you answered 'yes' to the question in Section A asking whether you are a New Zealand Maori or a descendant of New Zealand Maori [...]",,
pātata,paːtata,neighbouring,,
pāua,paːua,"Any of the three species of large edible sea snails, marine gastropod molluscs of the family Haliotidae (sole genus Haliotis), known in the United States and Australia as abalone, and in the United Kingdom as ormer shells.",,
pēke,peːke,bank,,
Pēpuere,peːpuere,February (month),February,fɛbɹuːəɹi
Pērara,peːrara,Belarus (a country in Europe),,
pī,piː,sodden,,
pīata,piːata,"to be shiny, bright, polished, glossy",,
pīne-ā-Wīwī,piːne-aː-wiːwiː,French bean,,
pīokeoke,piːokeoke,"spiny dogfish (Squalus acanthias)
Synonyms: mangō hapū, mangō pekepeke, mangō tara, okeoke, pioke",,
pītau,piːtau,"frond, shoot",,
pīwakawaka,piːwakawaka,"New Zealand fantail (Rhipidura fuliginosa)
Synonyms: hīrairaka, hīwaiwaka, kōtiutiu, pīrairaka, pīrakaraka, pīrangirangi, pītakataka, pīwaiwaka, tīrairaka, tīrairaka pango, tīrakaraka, tīraureka, tītakataka, tītīrairaka, tīwaiwaka, tīwakawaka, wakawaka",,
pō,poː,night,,
pōkiha,poːkiha,fox (animal in genus Vulpes),fox,fɒks
Pōngia-Herekōmina,poːŋia-herekoːmina,Bosnia and Herzegovina (a country in Europe),,
Pōrana,poːrana,Poland,,
pōti,poːti,"vote, elect",vote,vəʊt
pōtitanga,poːtitaŋa,election,,
pū,puː,"origin, source, base, foundation",,
pūkeko,puːkeko,"pūkeko, purple swamphen",,
pūmanamārō,puːmanamaːroː,(computing) firmware,,
pūmanawa,puːmanawa,"natural talent, (computing) software",,
pūmārō,puːmaːroː,(computing) hardware,,
pūnaha,puːnaha,system,,
pūpū,puːpuː,snail,,
pūrere,puːrere,"appliance, device",,
pūtaiao,puːtaiao,science,,
pūtāhono,puːtaːhono,driver (program acting as interface between an application,,
rae,rae,(anatomy) forehead (part of face above eyebrows),,
